Date,Open,High,Low,Close,Volume,Close_time,Asset_volume,Trade_number,Taker_buy_base,Taker_buy_quote
2020-08-13 21:00:00,11489.21000000,11506.99000000,11483.58000000,11501.65000000,299.58473900,2020-08-13 21:00:00,3443476.02967135,6224,154.42992100,1775146.63304994
2020-08-13 21:15:00,11501.80000000,11532.07000000,11499.32000000,11523.95000000,333.66448100,2020-08-13 21:15:00,3842363.67616127,5333,144.89198500,1668498.63472059
2020-08-13 21:30:00,11523.94000000,11529.44000000,11509.00000000,11518.20000000,296.42802400,2020-08-13 21:30:00,3414662.55316546,4937,132.61936500,1527579.18368835
2020-08-13 21:45:00,11518.21000000,11532.10000000,11506.16000000,11506.17000000,380.99974300,2020-08-13 21:45:00,4390359.47886273,6230,191.00521800,2201166.88928853
2020-08-13 22:00:00,11506.18000000,11540.62000000,11506.17000000,11540.14000000,358.66586900,2020-08-13 22:00:00,4134736.02340246,6621,164.22953200,1893213.60195121
2020-08-13 22:15:00,11540.28000000,11574.99000000,11540.24000000,11568.07000000,858.43546900,2020-08-13 22:15:00,9921725.73651732,13359,486.54059000,5623724.40887513
2020-08-13 22:30:00,11568.06000000,11578.00000000,11557.21000000,11561.64000000,490.71281100,2020-08-13 22:30:00,5676948.80084910,9199,240.89630000,2786864.42100037
2020-08-13 22:45:00,11561.63000000,11637.38000000,11559.34000000,11602.20000000,1608.11792400,2020-08-13 22:45:00,18655446.64712180,26151,1043.04252400,12099138.01136086
2020-08-13 23:00:00,11599.83000000,11721.28000000,11562.00000000,11675.31000000,3373.56982000,2020-08-13 23:00:00,39376643.01676240,46354,1961.75463300,22902467.95093524
2020-08-13 23:15:00,11675.31000000,11687.60000000,11626.00000000,11635.07000000,875.21281400,2020-08-13 23:15:00,10207414.49452984,15163,439.86391800,5130252.80076475
2020-08-13 23:30:00,11635.11000000,11697.80000000,11634.32000000,11692.71000000,838.59317000,2020-08-13 23:30:00,9788702.49986075,13136,466.26493500,5442996.01956010
2020-08-13 23:45:00,11692.53000000,11700.00000000,11662.78000000,11685.40000000,683.20809400,2020-08-13 23:45:00,7982561.47995181,14340,320.76732000,3747963.74706228
2020-08-14 00:00:00,11685.64000000,11780.53000000,11685.35000000,11778.97000000,1994.22301000,2020-08-14 00:00:00,23423174.53671853,30582,1155.63557100,13572517.60231328
2020-08-14 00:15:00,11778.97000000,11792.96000000,11697.10000000,11746.09000000,1397.35181500,2020-08-14 00:15:00,16425440.79063583,23706,618.94720800,7276803.40478130
2020-08-14 00:30:00,11746.09000000,11765.00000000,11713.30000000,11749.09000000,816.68261700,2020-08-14 00:30:00,9590041.71177578,13983,467.11077600,5484782.38358147
2020-08-14 00:45:00,11748.98000000,11756.63000000,11715.00000000,11717.70000000,684.26546700,2020-08-14 00:45:00,8031969.05712036,11927,283.99672500,3333862.18099770
2020-08-14 01:00:00,11717.70000000,11770.00000000,11717.70000000,11769.99000000,716.25094400,2020-08-14 01:00:00,8415650.35419510,13003,390.81805200,4591782.52578928
2020-08-14 01:15:00,11770.00000000,11772.00000000,11724.34000000,11726.20000000,515.71133500,2020-08-14 01:15:00,6056797.81079137,9979,218.88210800,2570290.90219511
2020-08-14 01:30:00,11726.21000000,11778.21000000,11726.21000000,11778.20000000,596.43067500,2020-08-14 01:30:00,7011403.96982365,9886,311.18138200,3658475.83297300
2020-08-14 01:45:00,11778.21000000,11780.00000000,11751.81000000,11780.00000000,575.57847900,2020-08-14 01:45:00,6772810.00341504,11314,281.41002500,3311126.54178314
2020-08-14 02:00:00,11779.77000000,11828.00000000,11778.76000000,11806.77000000,1553.84909200,2020-08-14 02:00:00,18353347.82358130,25818,929.00238700,10971747.33825047
2020-08-14 02:15:00,11806.87000000,11811.97000000,11735.60000000,11759.90000000,953.00687800,2020-08-14 02:15:00,11230715.38971081,17289,439.41068400,5178018.42026839
2020-08-14 02:30:00,11759.91000000,11761.39000000,11700.00000000,11742.32000000,802.01399300,2020-08-14 02:30:00,9410112.39624483,14911,386.44858500,4535606.30523371
2020-08-14 02:45:00,11742.32000000,11754.80000000,11725.19000000,11753.57000000,438.96386100,2020-08-14 02:45:00,5153437.35913880,8822,246.27918800,2891425.48033947
2020-08-14 03:00:00,11753.57000000,11754.70000000,11708.56000000,11745.44000000,685.11175400,2020-08-14 03:00:00,8038406.98548989,10413,303.61442200,3561638.65018109
