Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,171.697601,170.451706,180.145203,178.347351,178.347351,0
2019-09-03,178.357742,175.970169,182.348007,179.499329,179.499329,0
2019-09-04,179.491989,175.325348,180.136597,175.992889,175.992889,0
2019-09-05,175.966278,171.746826,176.163910,174.217133,174.217133,0
2019-09-06,174.172211,168.341339,177.718704,169.956177,169.956177,0
2019-09-09,181.362488,177.419357,184.149460,181.149475,181.149475,0
2019-09-10,181.212845,178.122421,184.063431,179.787170,179.787170,0
2019-09-11,179.839508,176.500916,181.757477,178.725494,178.725494,0
2019-09-12,178.803772,177.847321,181.998566,181.016083,181.016083,0
2019-09-13,180.975586,178.582047,181.498291,181.109711,181.109711,0
2019-09-16,189.689346,189.689346,198.204971,197.113174,197.113174,0
2019-09-17,197.114761,196.715500,213.731934,208.608765,208.608765,0
2019-09-18,208.050598,208.050598,216.711487,211.393036,211.393036,0
2019-09-19,211.247238,204.685791,222.871674,221.280869,221.280869,0
2019-09-20,221.069626,215.159637,221.598557,218.050064,218.050064,0
2019-09-23,211.713196,201.887238,211.840515,201.921310,201.921310,0
2019-09-24,201.842102,162.727783,203.500549,168.110733,168.110733,0
2019-09-25,168.133575,164.913483,174.719772,170.892700,170.892700,0
2019-09-26,170.756927,157.130325,171.692642,166.727127,166.727127,0
2019-09-27,166.651703,163.209503,175.610779,174.710999,174.710999,0
2019-09-30,170.461349,167.036606,179.872208,179.872208,179.872208,0
2019-10-01,180.209122,175.812653,185.045532,177.340424,177.340424,0
2019-10-02,177.224060,175.334274,180.826126,180.710510,180.710510,0
2019-10-03,180.703720,172.599869,180.799210,175.199341,175.199341,0
2019-10-04,175.238419,173.564087,178.552078,176.985001,176.985001,0
2019-10-07,172.940353,171.527817,182.356354,181.186325,181.186325,0
2019-10-08,181.113358,179.133392,184.359955,182.021561,182.021561,0
2019-10-09,182.036301,180.668442,194.300491,193.293259,193.293259,0
2019-10-10,193.191086,188.306458,193.896927,191.659683,191.659683,0
2019-10-11,191.801071,181.661835,195.318787,182.569687,182.569687,0
2019-10-14,182.028473,181.662277,187.303604,186.960907,186.960907,0
2019-10-15,186.977051,179.462784,187.759872,181.406052,181.406052,0
2019-10-16,181.343735,174.064163,181.668594,176.013504,176.013504,0
2019-10-17,175.906891,174.565826,178.899551,178.028351,178.028351,0
2019-10-18,177.988556,171.005051,178.179794,173.621338,173.621338,0
2019-10-21,175.524765,173.287750,177.741714,174.920990,174.920990,0
2019-10-22,174.905060,172.266220,175.650024,172.300858,172.300858,0
2019-10-23,172.262802,157.463425,172.420578,162.402786,162.402786,0
2019-10-24,162.514099,160.887955,164.147568,162.168533,162.168533,0
2019-10-25,162.189713,161.966019,183.000107,181.523209,181.523209,0
2019-10-28,184.397507,180.249557,187.883163,182.662811,182.662811,0
2019-10-29,182.670380,182.364380,191.846756,190.342575,190.342575,0
2019-10-30,190.336395,181.546371,191.111938,184.692169,184.692169,0
2019-10-31,184.797623,180.068359,188.751282,183.966934,183.966934,0
2019-11-01,183.803696,181.094482,185.059723,183.969910,183.969910,0
2019-11-04,182.319031,181.821594,188.022934,186.355194,186.355194,0
2019-11-05,186.309311,184.331985,191.257828,189.304169,189.304169,0
2019-11-06,189.113495,188.667679,193.547241,191.593842,191.593842,0
2019-11-07,191.504303,186.567001,191.861099,187.976532,187.976532,0
2019-11-08,187.924255,182.541367,188.815964,184.211472,184.211472,0
2019-11-11,189.502914,185.086319,190.338425,185.489655,185.489655,0
2019-11-12,185.564835,184.191055,187.948029,186.843414,186.843414,0
2019-11-13,186.942429,185.937943,189.331879,188.258743,188.258743,0
2019-11-14,188.272507,184.992279,188.634583,185.999634,185.999634,0
2019-11-15,186.058167,179.379562,186.251831,180.521179,180.521179,0
2019-11-18,185.041458,179.175522,186.927155,180.559601,180.559601,0
2019-11-19,180.502457,175.197128,182.528015,177.455551,177.455551,0
2019-11-20,177.415283,175.290436,178.993149,175.698334,175.698334,0
2019-11-21,175.673599,159.365128,176.209213,161.462723,161.462723,0
2019-11-22,161.505890,142.344086,163.028091,150.268173,150.268173,0
2019-11-25,142.696991,133.802338,150.207962,146.476532,146.476532,0
2019-11-26,146.404297,145.216888,150.004761,148.965057,148.965057,0
2019-11-27,148.396820,143.525604,154.887207,153.010544,153.010544,0
2019-11-28,153.069244,151.091125,156.613586,151.717575,151.717575,0
2019-11-29,151.768600,151.460434,156.848404,155.304153,155.304153,0
2019-12-02,151.175476,147.606796,152.116959,149.059158,149.059158,0
2019-12-03,149.058243,146.001663,150.310425,147.956421,147.956421,0
2019-12-04,147.918396,145.000885,150.680817,146.747742,146.747742,0
2019-12-05,146.686493,145.459076,153.155411,149.248993,149.248993,0
2019-12-06,149.396484,147.606522,149.670532,149.194443,149.194443,0
2019-12-09,151.224396,147.621368,151.913940,148.225159,148.225159,0
2019-12-10,148.179855,144.907959,148.564453,146.267044,146.267044,0
2019-12-11,146.320648,143.045364,147.139191,143.608002,143.608002,0
2019-12-12,143.615662,141.436981,145.751648,145.604004,145.604004,0
2019-12-13,145.655685,143.746521,145.857101,144.944748,144.944748,0
2019-12-16,143.139542,132.456665,143.224854,133.614029,133.614029,0
2019-12-17,133.647186,121.395081,134.011536,122.603889,122.603889,0
2019-12-18,122.656830,119.780052,133.394165,133.092194,133.092194,0
2019-12-19,133.052780,125.971672,134.190643,129.321136,129.321136,0
2019-12-20,129.384369,126.985359,129.756302,129.066055,129.066055,0
2019-12-23,132.306992,127.416718,134.731750,128.614090,128.614090,0
2019-12-24,128.629257,127.308777,131.672287,129.063889,129.063889,0
2019-12-25,129.068497,124.885490,129.068497,126.454628,126.454628,0
2019-12-26,126.486328,125.406433,130.898346,126.361221,126.361221,0
2019-12-27,126.368790,124.820808,128.097565,127.214615,127.214615,0
2019-12-30,134.796524,131.545563,136.757355,132.633484,132.633484,0
2019-12-31,132.612259,128.798157,133.732666,129.610855,129.610855,0
2020-01-01,129.630661,129.198288,132.835358,130.802002,130.802002,0
2020-01-02,130.820038,126.954910,130.820038,127.410187,127.410187,0
2020-01-03,127.411263,126.490028,134.554016,134.171722,134.171722,0
2020-01-06,136.305542,136.079636,144.328186,144.304153,144.304153,0
2020-01-07,144.311996,140.488876,145.001770,143.543991,143.543991,0
2020-01-08,143.487823,138.268204,146.828003,141.258133,141.258133,0
2020-01-09,141.155777,136.236404,141.393982,138.979202,138.979202,0
2020-01-10,138.967041,135.520386,144.167313,143.963776,143.963776,0
2020-01-13,146.220139,142.907135,146.791229,144.226593,144.226593,0
2020-01-14,144.251053,144.064926,167.681564,165.955368,165.955368,0
2020-01-15,165.734604,161.109619,170.425674,166.230682,166.230682,0
2020-01-16,166.332840,159.709641,167.058136,164.391006,164.391006,0
2020-01-17,164.489380,162.775604,173.069199,170.779953,170.779953,0
2020-01-20,166.904129,162.331604,169.114883,167.120514,167.120514,0
2020-01-21,167.060471,165.819717,169.910126,169.697159,169.697159,0
2020-01-22,169.608551,166.774231,171.008698,168.294159,168.294159,0
2020-01-23,168.295700,160.295319,168.312241,162.928558,162.928558,0
2020-01-24,162.899368,156.749756,164.309448,163.051178,163.051178,0
2020-01-27,168.008850,166.901093,172.922913,170.930893,170.930893,0
2020-01-28,170.884872,170.738068,176.370331,176.370331,176.370331,0
2020-01-29,176.347885,175.050339,178.842972,175.050339,175.050339,0
2020-01-30,174.917694,172.374634,186.260498,184.690475,184.690475,0
2020-01-31,184.736893,176.296814,185.405853,180.160172,180.160172,0
2020-02-03,188.607422,188.012695,193.436874,189.865067,189.865067,0
2020-02-04,189.861725,185.403625,191.111481,189.250610,189.250610,0
2020-02-05,189.299103,188.752686,206.804016,204.230240,204.230240,0
2020-02-06,204.129700,201.904068,214.597717,212.339081,212.339081,0
2020-02-07,212.315887,212.304184,223.140915,222.726074,222.726074,0
2020-02-10,228.549118,218.080063,229.184616,223.522705,223.522705,0
2020-02-11,223.384933,218.617615,236.547134,235.851196,235.851196,0
2020-02-12,235.898224,235.896271,272.398834,265.406128,265.406128,0
